Date,AAPL,CAT,GOOG
2001-05-03,-0.06326045342270048,-0.005182824271862336,
2001-05-04,0.031159838641465522,0.010140489439356413,
2001-05-07,-0.03115983864146538,0.018812795015554794,
2001-05-08,-0.015747462062051635,0.006578825680053885,
2001-05-09,-0.024306603468958424,0.0028889314012220204,
2001-05-10,-0.041726085767246505,0.027128488206078265,
2001-05-11,-0.006541894032280359,-0.004313706322884146,
2001-05-14,0.019072634959596144,-0.007168471331336576,
2001-05-15,-0.004733954056552906,0.006039920911150842,
2001-05-16,0.03892122378166278,0.05081327606105882,
2001-05-17,-0.023085174035329573,-0.011874907922976932,
2001-05-18,-0.0008492563887228718,0.0,
2001-05-21,0.0012723319957803308,0.008111807279875923,
2001-05-22,-0.0025487730408254436,0.008936714316558797,
2001-05-23,-0.011557690987698491,-0.02158313497683146,
